experiment,version,experimenter,system,subjID,date_started,date_finished,gender,age,handedness
報告順序と記憶メタ認知: 2.0,experiment2,YK,booth 6,001_KN,2024-08-05,2024-08-07,m,28,r
報告順序と記憶メタ認知: 2.0,experiment2,TZ,booth 6,002_MK,2024-08-08,2024-08-16,m,23,r
報告順序と記憶メタ認知: 2.0,experiment2,TK,booth 6,003_YH,2024-08-27,2024-08-30,f,24,r
報告順序と記憶メタ認知: 2.0,experiment2,TZ,booth 6,004_KO,2024-09-04,2024-09-12,m,19,r
報告順序と記憶メタ認知: 2.0,experiment2,TN,booth 6,005_YW,2024-09-11,2024-09-18,m,22,l
報告順序と記憶メタ認知: 2.0,experiment2,TK,booth 5,006_HM,2024-09-18,2024-09-25,m,38,r
報告順序と記憶メタ認知: 2.0,experiment2,TK,booth 7,007_SS,2024-09-19,2024-09-27,m,34,r
報告順序と記憶メタ認知: 2.0,experiment2,TK,booth 5,008_SE,2024-10-11,2024-10-18,m,21,r
報告順序と記憶メタ認知: 2.0,experiment2,YK,booth 5,101_MS,2024-08-06,2024-08-08,f,25,r
報告順序と記憶メタ認知: 2.0,experiment2,YK,booth 9,102_TH,2024-08-13,2024-08-15,m,24,r
報告順序と記憶メタ認知: 2.0,experiment2,TK,booth 5,103_HK,2024-08-27,0000-01-00,f,21,r
報告順序と記憶メタ認知: 2.0,experiment2,YK,booth 6,103_SK,2024-09-20,2024-09-27,m,23,r
報告順序と記憶メタ認知: 2.0,experiment2,TK,booth 5,104_KT,2024-09-17,2024-09-19,m,22,r
報告順序と記憶メタ認知: 2.0,experiment2,TN,booth 9,105_KU,2024-09-13,2024-09-18,m,21,r
報告順序と記憶メタ認知: 2.0,experiment2,TK,booth 7,106_RY,2024-09-18,2024-09-27,m,19,r
報告順序と記憶メタ認知: 2.0,experiment2,TK,booth 9,107_DS,2024-09-19,2024-09-27,m,29,r
報告順序と記憶メタ認知: 2.0,experiment2,TZ,booth 9,108_TU,2024-10-16,2024-10-18,m,53,r
報告順序と記憶メタ認知: 2.0,experiment2,TN,booth 6,201_MB,2024-08-06,2024-08-19,m,21,r
報告順序と記憶メタ認知: 2.0,experiment2,TK,booth 9,202_KH,2024-08-16,2024-08-23,f,24,r
報告順序と記憶メタ認知: 2.0,experiment2,TK,booth 9,203_YI,2024-08-28,2024-09-02,m,20,r
報告順序と記憶メタ認知: 2.0,experiment2,TK,booth 6,204_KO,2024-09-06,2024-09-11,m,21,r
報告順序と記憶メタ認知: 2.0,experiment2,YK,booth 9,205_RO,2024-09-17,2024-09-19,m,22,r
報告順序と記憶メタ認知: 2.0,experiment2,YK,booth 6,206_SM,2024-09-19,2024-09-27,m,22,r
報告順序と記憶メタ認知: 2.0,experiment2,TN,booth 5,207_RH,2024-09-25,2024-09-30,f,27,r
報告順序と記憶メタ認知: 2.0,experiment2,TZ,booth 9,208_YI,2024-10-21,2024-10-25,m,24,r
報告順序と記憶メタ認知: 2.0,experiment2,SN,booth 5,301_YY,2024-08-14,2024-08-19,m,19,r
報告順序と記憶メタ認知: 2.0,experiment2,SN,booth 6,302_MA,2024-08-19,2024-08-26,f,49,r
報告順序と記憶メタ認知: 2.0,experiment2,TZ,booth 5,303_CH,2024-09-02,2024-09-12,f,35,r
報告順序と記憶メタ認知: 2.0,experiment2,TN,booth 9,304_KK,2024-09-02,2024-09-05,m,22,r
報告順序と記憶メタ認知: 2.0,experiment2,YK,booth 9,305_TA,2024-09-17,2024-09-26,f,22,r
報告順序と記憶メタ認知: 2.0,experiment2,YK,booth 9,306_KY,2024-09-20,2024-09-30,m,24,r
報告順序と記憶メタ認知: 2.0,experiment2,TZ,booth 7,307_YH,2024-09-24,2024-09-27,m,22,r
報告順序と記憶メタ認知: 2.0,experiment2,TZ,booth 8,308_SK,2024-10-21,2024-10-24,m,31,r
報告順序と記憶メタ認知: 2.0,experiment2,TZ,booth 5,401_YP,2024-08-08,2024-08-13,m,20,r
報告順序と記憶メタ認知: 2.0,experiment2,YK,booth 9,402_MS,2024-08-19,0000-01-00,f,22,r
報告順序と記憶メタ認知: 2.0,experiment2,TK,booth 5,402_NU,2024-08-29,2024-09-11,f,19,r
報告順序と記憶メタ認知: 2.0,experiment2,TZ,booth 6,403_MT,2024-09-02,2024-09-12,m,18,r
報告順序と記憶メタ認知: 2.0,experiment2,TZ,booth 6,404_KO,2024-09-11,2024-09-17,m,23,r
報告順序と記憶メタ認知: 2.0,experiment2,TK,booth 5,405_HM,2024-09-17,2024-09-26,f,30,r
報告順序と記憶メタ認知: 2.0,experiment2,YK,booth 6,406_YO,2024-09-20,2024-09-26,m,20,r
報告順序と記憶メタ認知: 2.0,experiment2,TK,booth 5,407_,2024-09-19,2024-09-30,m,22,r
報告順序と記憶メタ認知: 2.0,experiment2,YK,booth 9,408_NK,2024-10-21,2024-10-25,f,23,l
報告順序と記憶メタ認知: 2.0,experiment2,TZ,booth 6,501_EHK,2024-08-08,2024-08-13,f,51,r
報告順序と記憶メタ認知: 2.0,experiment2,TK,booth 6,502_KK,2024-08-27,2024-09-03,m,20,r
報告順序と記憶メタ認知: 2.0,experiment2,TK,booth 5,503_YK,2024-09-03,2024-09-13,f,69,r
報告順序と記憶メタ認知: 2.0,experiment2,TN,booth 9,504_RS,2024-09-11,2024-09-13,m,34,r
報告順序と記憶メタ認知: 2.0,experiment2,TZ,booth 6,505_SM,2024-09-17,2024-09-26,f,22,r
報告順序と記憶メタ認知: 2.0,experiment2,TK,booth 6,506_AK,2024-09-19,2024-09-27,m,21,r
報告順序と記憶メタ認知: 2.0,experiment2,YK,booth 8,507_AI,2024-09-24,2024-10-01,f,34,r
報告順序と記憶メタ認知: 2.0,experiment2,YK,booth 8,508_AM,2024-10-21,2024-10-25,m,23,r
